                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7996,                0.82893,                 1.1485,                0.76268,                0.63755,                0.69716,                0.29012,                 2.0196,                0.97507,                 1.1489,               0.008845,               0.008845,               0.008845
                     37,                 1.8806,                0.85953,                 1.1706,                0.79242,                 0.6305,                0.69831,                0.30224,                 1.8971,                0.89297,                 1.1002,               0.008812,               0.008812,               0.008812
                     38,                 1.8271,                 0.8218,                 1.1459,                0.79053,                0.63619,                0.71414,                0.32572,                 1.8012,                0.88674,                 1.0808,               0.008779,               0.008779,               0.008779
                     39,                  1.798,                0.85174,                 1.1402,                0.77701,                 0.6327,                0.70697,                0.31313,                 1.8619,                0.90351,                 1.0869,               0.008746,               0.008746,               0.008746
                     40,                 1.8363,                0.83769,                 1.1457,                0.78625,                0.62604,                0.70971,                0.31788,                 1.8719,                0.91377,                 1.0899,               0.008713,               0.008713,               0.008713
                     41,                 1.9009,                 0.8237,                 1.1355,                0.74427,                0.60653,                0.68134,                 0.3229,                 1.7538,                0.93653,                  1.061,                0.00868,                0.00868,                0.00868
                     42,                 1.8758,                0.84401,                 1.1451,                0.73103,                0.60465,                0.67077,                0.30652,                 1.8879,                0.98361,                 1.1057,               0.008647,               0.008647,               0.008647
                     43,                 1.8365,                0.82259,                 1.1313,                0.77723,                0.60236,                0.69183,                0.33733,                 1.7455,                0.89492,                 1.0681,               0.008614,               0.008614,               0.008614
                     44,                 1.8169,                 0.8233,                 1.1327,                0.77796,                0.61148,                0.69498,                 0.3066,                 1.8448,                 0.9055,                 1.0799,               0.008581,               0.008581,               0.008581
                     45,                 1.7998,                0.82039,                 1.1453,                0.79878,                0.63591,                0.71715,                0.33988,                 1.7921,                 0.8542,                  1.069,               0.008548,               0.008548,               0.008548
                     46,                 1.7765,                0.80872,                 1.1356,                0.79287,                 0.6222,                0.69038,                0.28778,                   2.01,                0.90071,                 1.1233,               0.008515,               0.008515,               0.008515
                     47,                 1.7902,                0.80171,                 1.1454,                0.80004,                0.64805,                0.71202,                0.33348,                 1.7898,                0.90666,                 1.0689,               0.008482,               0.008482,               0.008482
                     48,                 1.7915,                0.80861,                 1.1464,                0.78705,                0.62478,                 0.6949,                0.31505,                 1.8571,                0.96869,                 1.0839,               0.008449,               0.008449,               0.008449
                     49,                 1.7956,                0.80656,                  1.125,                0.76948,                0.65266,                0.70926,                0.31013,                 1.8839,                0.99227,                 1.0898,               0.008416,               0.008416,               0.008416
                     50,                 1.8113,                0.80772,                 1.1265,                0.80404,                 0.6464,                0.71754,                0.31314,                 1.9148,                0.90709,                 1.1088,               0.008383,               0.008383,               0.008383
                     51,                 1.8104,                  0.793,                 1.1176,                0.81293,                0.65588,                0.73166,                0.31243,                 1.9331,                0.86643,                 1.1146,                0.00835,                0.00835,                0.00835
                     52,                 1.8042,                0.81112,                 1.1426,                0.77473,                0.63658,                 0.6883,                 0.2754,                  2.063,                0.90665,                 1.1491,               0.008317,               0.008317,               0.008317
                     53,                 1.7442,                0.77747,                 1.1281,                 0.7882,                0.65338,                0.72374,                0.33018,                 1.7827,                0.87112,                   1.07,               0.008284,               0.008284,               0.008284
                     54,                 1.7775,                0.82308,                  1.126,                0.80227,                0.65659,                0.73264,                0.33707,                 1.7777,                0.85313,                 1.0667,               0.008251,               0.008251,               0.008251
                     55,                 1.8017,                0.80726,                 1.1179,                0.77116,                0.64989,                0.71189,                0.33492,                 1.7487,                0.86463,                 1.0542,               0.008218,               0.008218,               0.008218
