                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0426,                0.98084,                 1.1736,                0.43943,                0.41994,                0.35664,                0.09317,                 2.8402,                 1.7488,                 1.4256,               0.008878,               0.008878,               0.008878
                     36,                 1.9928,                0.97483,                 1.1848,                0.52263,                0.38673,                0.37335,                0.08289,                 3.0855,                 1.3027,                 1.5632,               0.008845,               0.008845,               0.008845
                     37,                 2.0678,                 1.0118,                 1.2067,                0.63316,                0.49773,                0.51154,                0.14218,                 2.6807,                 1.2179,                  1.348,               0.008812,               0.008812,               0.008812
                     38,                  2.049,                0.98405,                 1.1896,                0.60572,                0.51856,                0.49002,                0.12784,                 2.7046,                 1.2847,                 1.3814,               0.008779,               0.008779,               0.008779
                     39,                      2,                 1.0105,                 1.1932,                0.57483,                0.51426,                0.47959,                0.13397,                 2.5856,                 2.0647,                 1.3204,               0.008746,               0.008746,               0.008746
                     40,                 2.0858,                 1.0115,                 1.2045,                0.39348,                0.42833,                0.29989,                0.06745,                 2.9358,                 2.0806,                  1.503,               0.008713,               0.008713,               0.008713
                     41,                 2.0515,                0.98563,                 1.1753,                0.46887,                0.46475,                  0.437,                0.13843,                 2.5038,                 2.3676,                  1.307,                0.00868,                0.00868,                0.00868
                     42,                 2.1057,                 1.0229,                 1.1892,                0.48236,                 0.3731,                 0.3637,                0.09736,                 2.6126,                 2.6705,                 1.3218,               0.008647,               0.008647,               0.008647
                     43,                 2.0246,                0.98207,                 1.1784,                  0.618,                0.43771,                 0.4598,                0.12618,                  2.678,                 1.3247,                 1.3888,               0.008614,               0.008614,               0.008614
                     44,                 1.9587,                 0.9783,                 1.1565,                0.60384,                0.46326,                0.45165,                0.11332,                 2.8346,                 1.3608,                  1.467,               0.008581,               0.008581,               0.008581
                     45,                 2.0238,                0.98686,                 1.1942,                0.64768,                0.52849,                0.52784,                0.15334,                 2.5552,                 1.2322,                 1.3173,               0.008548,               0.008548,               0.008548
                     46,                 1.9612,                0.96954,                 1.1729,                0.55734,                0.48065,                0.47104,                0.14981,                 2.4957,                 1.2542,                 1.2671,               0.008515,               0.008515,               0.008515
                     47,                 1.9457,                0.95992,                 1.1775,                 0.5096,                0.48433,                0.45437,                0.14806,                 2.3814,                 1.3343,                  1.219,               0.008482,               0.008482,               0.008482
                     48,                 1.9759,                 1.0019,                 1.1818,                0.54426,                0.47689,                0.46804,                0.15333,                 2.4985,                 1.2652,                 1.2876,               0.008449,               0.008449,               0.008449
                     49,                 1.9653,                0.95163,                 1.1557,                0.61501,                 0.5293,                 0.5033,                0.15519,                 2.5226,                 1.2288,                 1.2732,               0.008416,               0.008416,               0.008416
                     50,                 1.9971,                0.95609,                 1.1705,                0.58536,                0.51013,                 0.4515,                0.13547,                 2.6033,                 1.2999,                  1.331,               0.008383,               0.008383,               0.008383
                     51,                  1.987,                0.94561,                 1.1545,                0.54425,                0.47783,                 0.4398,                0.13617,                 2.4875,                 1.3161,                 1.2638,                0.00835,                0.00835,                0.00835
                     52,                 1.9427,                0.95827,                 1.1668,                0.56658,                0.50115,                0.46232,                0.14661,                 2.4217,                 1.3636,                 1.2471,               0.008317,               0.008317,               0.008317
                     53,                 1.9157,                0.92758,                 1.1603,                0.50141,                0.46138,                0.40109,                0.12234,                 2.5232,                 1.3408,                    1.3,               0.008284,               0.008284,               0.008284
